[run] base_fusion_R_iemocap_seed42 (seed=42)
[epoch 044] loss=0.6930 val_weighted_f1=0.5643 val_macro_f1=0.5442 time=4.5s per_class_f1={'angry': 0.61, 'happy': 0.347, 'excited': 0.625, 'sad': 0.698, 'neutral': 0.409, 'frustrated': 0.576}
[epoch 045] loss=0.6943 val_weighted_f1=0.5606 val_macro_f1=0.5378 time=4.5s per_class_f1={'angry': 0.598, 'happy': 0.342, 'excited': 0.604, 'sad': 0.684, 'neutral': 0.414, 'frustrated': 0.585}
[epoch 046] loss=0.6897 val_weighted_f1=0.5541 val_macro_f1=0.5388 time=4.4s per_class_f1={'angry': 0.609, 'happy': 0.356, 'excited': 0.618, 'sad': 0.69, 'neutral': 0.411, 'frustrated': 0.548}
[epoch 047] loss=0.6923 val_weighted_f1=0.5724 val_macro_f1=0.5511 time=4.5s per_class_f1={'angry': 0.613, 'happy': 0.37, 'excited': 0.62, 'sad': 0.692, 'neutral': 0.414, 'frustrated': 0.598}
[epoch 048] loss=0.6923 val_weighted_f1=0.5586 val_macro_f1=0.5387 time=4.5s per_class_f1={'angry': 0.61, 'happy': 0.35, 'excited': 0.626, 'sad': 0.673, 'neutral': 0.409, 'frustrated': 0.565}
[epoch 049] loss=0.6818 val_weighted_f1=0.5607 val_macro_f1=0.5448 time=4.5s per_class_f1={'angry': 0.61, 'happy': 0.375, 'excited': 0.622, 'sad': 0.688, 'neutral': 0.408, 'frustrated': 0.566}
[epoch 050] loss=0.6757 val_weighted_f1=0.5645 val_macro_f1=0.5420 time=4.5s per_class_f1={'angry': 0.609, 'happy': 0.347, 'excited': 0.615, 'sad': 0.686, 'neutral': 0.41, 'frustrated': 0.585}
[epoch 051] loss=0.6828 val_weighted_f1=0.5558 val_macro_f1=0.5388 time=4.4s per_class_f1={'angry': 0.611, 'happy': 0.355, 'excited': 0.621, 'sad': 0.684, 'neutral': 0.409, 'frustrated': 0.554}
[epoch 052] loss=0.6747 val_weighted_f1=0.5620 val_macro_f1=0.5436 time=4.5s per_class_f1={'angry': 0.609, 'happy': 0.361, 'excited': 0.619, 'sad': 0.692, 'neutral': 0.407, 'frustrated': 0.574}
[epoch 053] loss=0.6710 val_weighted_f1=0.5651 val_macro_f1=0.5446 time=4.5s per_class_f1={'angry': 0.61, 'happy': 0.356, 'excited': 0.618, 'sad': 0.692, 'neutral': 0.409, 'frustrated': 0.583}
[epoch 054] loss=0.6655 val_weighted_f1=0.5616 val_macro_f1=0.5436 time=4.5s per_class_f1={'angry': 0.609, 'happy': 0.366, 'excited': 0.622, 'sad': 0.684, 'neutral': 0.41, 'frustrated': 0.571}
[epoch 055] loss=0.6736 val_weighted_f1=0.5640 val_macro_f1=0.5435 time=4.4s per_class_f1={'angry': 0.611, 'happy': 0.359, 'excited': 0.62, 'sad': 0.679, 'neutral': 0.414, 'frustrated': 0.578}
[epoch 056] loss=0.6805 val_weighted_f1=0.5633 val_macro_f1=0.5436 time=4.6s per_class_f1={'angry': 0.618, 'happy': 0.359, 'excited': 0.619, 'sad': 0.679, 'neutral': 0.416, 'frustrated': 0.571}
[epoch 057] loss=0.6745 val_weighted_f1=0.5655 val_macro_f1=0.5441 time=4.5s per_class_f1={'angry': 0.601, 'happy': 0.359, 'excited': 0.62, 'sad': 0.681, 'neutral': 0.414, 'frustrated': 0.589}
[trainer] early stopping at epoch 57 (patience=10)
[run-done] base_fusion_R_iemocap_seed1337 wall_clock_sec=323.7
[status] base_fusion_R_iemocap_seed1337 test_weighted_f1=0.6492 all_6_nonzero=True
[run] base_fusion_R_iemocap_seed2024 (seed=2024)
[epoch 000] loss=0.8374 val_weighted_f1=0.5330 val_macro_f1=0.5222 time=4.4s per_class_f1={'angry': 0.574, 'happy': 0.361, 'excited': 0.559, 'sad': 0.687, 'neutral': 0.425, 'frustrated': 0.527}
[epoch 001] loss=0.8343 val_weighted_f1=0.5330 val_macro_f1=0.5221 time=4.5s per_class_f1={'angry': 0.567, 'happy': 0.365, 'excited': 0.562, 'sad': 0.684, 'neutral': 0.421, 'frustrated': 0.533}
[epoch 002] loss=0.8417 val_weighted_f1=0.5298 val_macro_f1=0.5188 time=4.5s per_class_f1={'angry': 0.55, 'happy': 0.362, 'excited': 0.557, 'sad': 0.691, 'neutral': 0.414, 'frustrated': 0.54}
[epoch 003] loss=0.8271 val_weighted_f1=0.5338 val_macro_f1=0.5202 time=4.5s per_class_f1={'angry': 0.539, 'happy': 0.364, 'excited': 0.581, 'sad': 0.682, 'neutral': 0.396, 'frustrated': 0.56}
[epoch 004] loss=0.8362 val_weighted_f1=0.5318 val_macro_f1=0.5160 time=4.5s per_class_f1={'angry': 0.52, 'happy': 0.344, 'excited': 0.587, 'sad': 0.694, 'neutral': 0.381, 'frustrated': 0.571}
[epoch 005] loss=0.8270 val_weighted_f1=0.5310 val_macro_f1=0.5157 time=4.5s per_class_f1={'angry': 0.504, 'happy': 0.348, 'excited': 0.585, 'sad': 0.696, 'neutral': 0.384, 'frustrated': 0.577}
[epoch 006] loss=0.8281 val_weighted_f1=0.5342 val_macro_f1=0.5206 time=4.4s per_class_f1={'angry': 0.514, 'happy': 0.348, 'excited': 0.583, 'sad': 0.712, 'neutral': 0.395, 'frustrated': 0.571}
[epoch 007] loss=0.8208 val_weighted_f1=0.5400 val_macro_f1=0.5265 time=4.5s per_class_f1={'angry': 0.531, 'happy': 0.346, 'excited': 0.587, 'sad': 0.718, 'neutral': 0.412, 'frustrated': 0.565}
[epoch 008] loss=0.8271 val_weighted_f1=0.5375 val_macro_f1=0.5243 time=4.5s per_class_f1={'angry': 0.528, 'happy': 0.342, 'excited': 0.584, 'sad': 0.718, 'neutral': 0.415, 'frustrated': 0.56}
[epoch 009] loss=0.8210 val_weighted_f1=0.5411 val_macro_f1=0.5270 time=4.5s per_class_f1={'angry': 0.536, 'happy': 0.342, 'excited': 0.585, 'sad': 0.718, 'neutral': 0.418, 'frustrated': 0.563}
[epoch 010] loss=0.8195 val_weighted_f1=0.5390 val_macro_f1=0.5266 time=4.5s per_class_f1={'angry': 0.53, 'happy': 0.352, 'excited': 0.586, 'sad': 0.714, 'neutral': 0.415, 'frustrated': 0.561}
[epoch 011] loss=0.8306 val_weighted_f1=0.5376 val_macro_f1=0.5241 time=4.5s per_class_f1={'angry': 0.53, 'happy': 0.342, 'excited': 0.585, 'sad': 0.714, 'neutral': 0.413, 'frustrated': 0.56}
[epoch 012] loss=0.8253 val_weighted_f1=0.5376 val_macro_f1=0.5236 time=4.5s per_class_f1={'angry': 0.525, 'happy': 0.342, 'excited': 0.585, 'sad': 0.714, 'neutral': 0.411, 'frustrated': 0.565}
[epoch 013] loss=0.8256 val_weighted_f1=0.5382 val_macro_f1=0.5241 time=4.4s per_class_f1={'angry': 0.527, 'happy': 0.342, 'excited': 0.584, 'sad': 0.714, 'neutral': 0.413, 'frustrated': 0.565}
[epoch 014] loss=0.8212 val_weighted_f1=0.5377 val_macro_f1=0.5235 time=4.6s per_class_f1={'angry': 0.534, 'happy': 0.34, 'excited': 0.584, 'sad': 0.712, 'neutral': 0.411, 'frustrated': 0.56}
[epoch 015] loss=0.8142 val_weighted_f1=0.5379 val_macro_f1=0.5246 time=4.5s per_class_f1={'angry': 0.528, 'happy': 0.344, 'excited': 0.585, 'sad': 0.714, 'neutral': 0.416, 'frustrated': 0.56}
[epoch 016] loss=0.8156 val_weighted_f1=0.5400 val_macro_f1=0.5265 time=4.5s per_class_f1={'angry': 0.521, 'happy': 0.348, 'excited': 0.589, 'sad': 0.714, 'neutral': 0.42, 'frustrated': 0.567}
[epoch 017] loss=0.8110 val_weighted_f1=0.5387 val_macro_f1=0.5247 time=4.5s per_class_f1={'angry': 0.531, 'happy': 0.338, 'excited': 0.587, 'sad': 0.712, 'neutral': 0.423, 'frustrated': 0.558}
[epoch 018] loss=0.8101 val_weighted_f1=0.5413 val_macro_f1=0.5270 time=4.5s per_class_f1={'angry': 0.547, 'happy': 0.338, 'excited': 0.587, 'sad': 0.71, 'neutral': 0.426, 'frustrated': 0.553}
[epoch 019] loss=0.8045 val_weighted_f1=0.5431 val_macro_f1=0.5275 time=4.4s per_class_f1={'angry': 0.539, 'happy': 0.338, 'excited': 0.587, 'sad': 0.71, 'neutral': 0.426, 'frustrated': 0.565}
[epoch 020] loss=0.7937 val_weighted_f1=0.5438 val_macro_f1=0.5270 time=4.4s per_class_f1={'angry': 0.542, 'happy': 0.338, 'excited': 0.586, 'sad': 0.71, 'neutral': 0.414, 'frustrated': 0.572}
[epoch 021] loss=0.7862 val_weighted_f1=0.5463 val_macro_f1=0.5294 time=4.5s per_class_f1={'angry': 0.564, 'happy': 0.335, 'excited': 0.59, 'sad': 0.71, 'neutral': 0.413, 'frustrated': 0.564}
[epoch 022] loss=0.7910 val_weighted_f1=0.5481 val_macro_f1=0.5305 time=4.4s per_class_f1={'angry': 0.572, 'happy': 0.333, 'excited': 0.591, 'sad': 0.706, 'neutral': 0.419, 'frustrated': 0.562}
[epoch 023] loss=0.7854 val_weighted_f1=0.5468 val_macro_f1=0.5297 time=4.5s per_class_f1={'angry': 0.555, 'happy': 0.335, 'excited': 0.585, 'sad': 0.714, 'neutral': 0.418, 'frustrated': 0.57}
[epoch 024] loss=0.7690 val_weighted_f1=0.5541 val_macro_f1=0.5376 time=4.6s per_class_f1={'angry': 0.584, 'happy': 0.338, 'excited': 0.606, 'sad': 0.717, 'neutral': 0.42, 'frustrated': 0.561}
[epoch 025] loss=0.7705 val_weighted_f1=0.5566 val_macro_f1=0.5378 time=4.5s per_class_f1={'angry': 0.569, 'happy': 0.34, 'excited': 0.602, 'sad': 0.714, 'neutral': 0.42, 'frustrated': 0.581}
[epoch 026] loss=0.7586 val_weighted_f1=0.5532 val_macro_f1=0.5367 time=4.6s per_class_f1={'angry': 0.565, 'happy': 0.346, 'excited': 0.6, 'sad': 0.717, 'neutral': 0.42, 'frustrated': 0.573}
[epoch 027] loss=0.7551 val_weighted_f1=0.5538 val_macro_f1=0.5363 time=4.5s per_class_f1={'angry': 0.567, 'happy': 0.34, 'excited': 0.608, 'sad': 0.711, 'neutral': 0.421, 'frustrated': 0.572}
[epoch 028] loss=0.7535 val_weighted_f1=0.5536 val_macro_f1=0.5360 time=4.8s per_class_f1={'angry': 0.567, 'happy': 0.333, 'excited': 0.608, 'sad': 0.713, 'neutral': 0.428, 'frustrated': 0.568}
[epoch 029] loss=0.7433 val_weighted_f1=0.5553 val_macro_f1=0.5367 time=4.5s per_class_f1={'angry': 0.566, 'happy': 0.331, 'excited': 0.61, 'sad': 0.717, 'neutral': 0.42, 'frustrated': 0.576}
[epoch 030] loss=0.7358 val_weighted_f1=0.5579 val_macro_f1=0.5371 time=4.5s per_class_f1={'angry': 0.58, 'happy': 0.327, 'excited': 0.597, 'sad': 0.717, 'neutral': 0.42, 'frustrated': 0.581}
[epoch 031] loss=0.7397 val_weighted_f1=0.5639 val_macro_f1=0.5418 time=4.5s per_class_f1={'angry': 0.591, 'happy': 0.327, 'excited': 0.592, 'sad': 0.721, 'neutral': 0.432, 'frustrated': 0.587}
[epoch 032] loss=0.7294 val_weighted_f1=0.5613 val_macro_f1=0.5388 time=4.5s per_class_f1={'angry': 0.608, 'happy': 0.325, 'excited': 0.599, 'sad': 0.701, 'neutral': 0.427, 'frustrated': 0.574}
[epoch 033] loss=0.7311 val_weighted_f1=0.5651 val_macro_f1=0.5413 time=4.6s per_class_f1={'angry': 0.592, 'happy': 0.323, 'excited': 0.599, 'sad': 0.715, 'neutral': 0.428, 'frustrated': 0.592}
[epoch 034] loss=0.7242 val_weighted_f1=0.5576 val_macro_f1=0.5385 time=4.4s per_class_f1={'angry': 0.603, 'happy': 0.335, 'excited': 0.604, 'sad': 0.701, 'neutral': 0.426, 'frustrated': 0.562}
[epoch 035] loss=0.7196 val_weighted_f1=0.5607 val_macro_f1=0.5395 time=4.5s per_class_f1={'angry': 0.599, 'happy': 0.331, 'excited': 0.598, 'sad': 0.707, 'neutral': 0.425, 'frustrated': 0.577}
[epoch 036] loss=0.7143 val_weighted_f1=0.5567 val_macro_f1=0.5352 time=4.5s per_class_f1={'angry': 0.586, 'happy': 0.323, 'excited': 0.607, 'sad': 0.698, 'neutral': 0.425, 'frustrated': 0.572}
[epoch 037] loss=0.7160 val_weighted_f1=0.5580 val_macro_f1=0.5403 time=4.5s per_class_f1={'angry': 0.595, 'happy': 0.348, 'excited': 0.609, 'sad': 0.696, 'neutral': 0.43, 'frustrated': 0.564}
