[run] base_fusion_R_k0_seed42 k=0 flags={'relational': False, 'shift': False, 'temporal': False, 'residual': True} text_cache_subdir=text_ctx_k0
[run-done] base_fusion_R_k0_seed1337 wall_clock_sec=335.6
[status] base_fusion_R_k0_seed1337 test_weighted_f1=0.6269 test_macro_f1=0.4367 all_7_nonzero=True
[run] base_fusion_R_k0_seed2024 k=0 flags={'relational': False, 'shift': False, 'temporal': False, 'residual': True} text_cache_subdir=text_ctx_k0
[epoch 000] loss=0.8992 val_weighted_f1=0.5841 val_macro_f1=0.4192 time=8.2s per_class_f1={'neutral': 0.768, 'joy': 0.559, 'sadness': 0.333, 'anger': 0.368, 'surprise': 0.633, 'fear': 0.085, 'disgust': 0.188}
[epoch 001] loss=0.8987 val_weighted_f1=0.5828 val_macro_f1=0.4184 time=8.2s per_class_f1={'neutral': 0.767, 'joy': 0.559, 'sadness': 0.345, 'anger': 0.366, 'surprise': 0.619, 'fear': 0.085, 'disgust': 0.188}
[epoch 002] loss=0.8966 val_weighted_f1=0.5835 val_macro_f1=0.4190 time=8.2s per_class_f1={'neutral': 0.767, 'joy': 0.554, 'sadness': 0.337, 'anger': 0.371, 'surprise': 0.631, 'fear': 0.085, 'disgust': 0.188}
[epoch 003] loss=0.8910 val_weighted_f1=0.5798 val_macro_f1=0.4157 time=8.1s per_class_f1={'neutral': 0.765, 'joy': 0.55, 'sadness': 0.335, 'anger': 0.363, 'surprise': 0.624, 'fear': 0.085, 'disgust': 0.188}
[epoch 004] loss=0.8886 val_weighted_f1=0.5811 val_macro_f1=0.4158 time=7.7s per_class_f1={'neutral': 0.768, 'joy': 0.546, 'sadness': 0.341, 'anger': 0.36, 'surprise': 0.628, 'fear': 0.085, 'disgust': 0.182}
[epoch 005] loss=0.8875 val_weighted_f1=0.5893 val_macro_f1=0.4339 time=7.9s per_class_f1={'neutral': 0.774, 'joy': 0.56, 'sadness': 0.335, 'anger': 0.365, 'surprise': 0.636, 'fear': 0.125, 'disgust': 0.242}
[epoch 006] loss=0.8864 val_weighted_f1=0.5768 val_macro_f1=0.4162 time=8.1s per_class_f1={'neutral': 0.765, 'joy': 0.555, 'sadness': 0.291, 'anger': 0.363, 'surprise': 0.622, 'fear': 0.082, 'disgust': 0.235}
[epoch 007] loss=0.8760 val_weighted_f1=0.5741 val_macro_f1=0.4184 time=8.2s per_class_f1={'neutral': 0.763, 'joy': 0.553, 'sadness': 0.273, 'anger': 0.355, 'surprise': 0.622, 'fear': 0.12, 'disgust': 0.242}
[epoch 008] loss=0.8744 val_weighted_f1=0.5850 val_macro_f1=0.4283 time=8.1s per_class_f1={'neutral': 0.768, 'joy': 0.569, 'sadness': 0.301, 'anger': 0.384, 'surprise': 0.621, 'fear': 0.12, 'disgust': 0.235}
[epoch 009] loss=0.8705 val_weighted_f1=0.5747 val_macro_f1=0.4127 time=8.1s per_class_f1={'neutral': 0.762, 'joy': 0.554, 'sadness': 0.282, 'anger': 0.371, 'surprise': 0.614, 'fear': 0.118, 'disgust': 0.188}
[epoch 010] loss=0.8647 val_weighted_f1=0.5825 val_macro_f1=0.4275 time=8.1s per_class_f1={'neutral': 0.765, 'joy': 0.558, 'sadness': 0.305, 'anger': 0.379, 'surprise': 0.625, 'fear': 0.118, 'disgust': 0.242}
[epoch 011] loss=0.8620 val_weighted_f1=0.5861 val_macro_f1=0.4302 time=8.1s per_class_f1={'neutral': 0.77, 'joy': 0.564, 'sadness': 0.309, 'anger': 0.381, 'surprise': 0.623, 'fear': 0.122, 'disgust': 0.242}
[epoch 012] loss=0.8545 val_weighted_f1=0.5905 val_macro_f1=0.4360 time=8.2s per_class_f1={'neutral': 0.769, 'joy': 0.558, 'sadness': 0.315, 'anger': 0.407, 'surprise': 0.635, 'fear': 0.118, 'disgust': 0.25}
[epoch 013] loss=0.8518 val_weighted_f1=0.5864 val_macro_f1=0.4304 time=8.1s per_class_f1={'neutral': 0.77, 'joy': 0.557, 'sadness': 0.323, 'anger': 0.391, 'surprise': 0.614, 'fear': 0.122, 'disgust': 0.235}
[epoch 014] loss=0.8448 val_weighted_f1=0.5833 val_macro_f1=0.4221 time=8.0s per_class_f1={'neutral': 0.765, 'joy': 0.561, 'sadness': 0.298, 'anger': 0.395, 'surprise': 0.624, 'fear': 0.118, 'disgust': 0.194}
[epoch 015] loss=0.8362 val_weighted_f1=0.5890 val_macro_f1=0.4343 time=7.8s per_class_f1={'neutral': 0.768, 'joy': 0.567, 'sadness': 0.315, 'anger': 0.411, 'surprise': 0.614, 'fear': 0.115, 'disgust': 0.25}
[epoch 016] loss=0.8313 val_weighted_f1=0.5902 val_macro_f1=0.4345 time=8.1s per_class_f1={'neutral': 0.771, 'joy': 0.569, 'sadness': 0.298, 'anger': 0.413, 'surprise': 0.62, 'fear': 0.12, 'disgust': 0.25}
[epoch 017] loss=0.8252 val_weighted_f1=0.5816 val_macro_f1=0.4232 time=7.6s per_class_f1={'neutral': 0.76, 'joy': 0.556, 'sadness': 0.32, 'anger': 0.403, 'surprise': 0.609, 'fear': 0.122, 'disgust': 0.194}
[epoch 018] loss=0.8174 val_weighted_f1=0.5858 val_macro_f1=0.4261 time=7.6s per_class_f1={'neutral': 0.764, 'joy': 0.564, 'sadness': 0.301, 'anger': 0.419, 'surprise': 0.613, 'fear': 0.128, 'disgust': 0.194}
[epoch 019] loss=0.8105 val_weighted_f1=0.5967 val_macro_f1=0.4451 time=7.6s per_class_f1={'neutral': 0.77, 'joy': 0.565, 'sadness': 0.37, 'anger': 0.439, 'surprise': 0.595, 'fear': 0.128, 'disgust': 0.25}
[epoch 020] loss=0.8030 val_weighted_f1=0.5766 val_macro_f1=0.4159 time=7.5s per_class_f1={'neutral': 0.761, 'joy': 0.556, 'sadness': 0.277, 'anger': 0.38, 'surprise': 0.622, 'fear': 0.128, 'disgust': 0.188}
